y,numerical_velocity,analytic_velocity,pointwise_error
0.0,0.0,0.0,0.0
0.03125,0.031249999999999886,0.03125,-1.1449174941446927e-16
0.0625,0.06249999999999977,0.0625,-2.2898349882893854e-16
0.09375,0.09374999999999965,0.09375,-3.469446951953614e-16
0.125,0.12499999999999956,0.125,-4.440892098500626e-16
0.15625,0.15624999999999944,0.15625,-5.551115123125783e-16
0.1875,0.18749999999999933,0.1875,-6.661338147750939e-16
0.21875,0.2187499999999992,0.21875,-8.049116928532385e-16
0.25,0.24999999999999906,0.25,-9.43689570931383e-16
0.28125,0.28124999999999895,0.28125,-1.0547118733938987e-15
0.3125,0.31249999999999883,0.3125,-1.1657341758564144e-15
0.34375,0.3437499999999987,0.34375,-1.27675647831893e-15
0.375,0.37499999999999856,0.375,-1.4432899320127035e-15
0.40625,0.4062499999999984,0.40625,-1.609823385706477e-15
0.4375,0.4374999999999982,0.4375,-1.7763568394002505e-15
0.46875,0.4687499999999981,0.46875,-1.887379141862766e-15
0.5,0.499999999999998,0.5,-1.9984014443252818e-15
0.53125,0.5312499999999979,0.53125,-2.1094237467877974e-15
0.5625,0.5624999999999978,0.5625,-2.220446049250313e-15
0.59375,0.5937499999999977,0.59375,-2.3314683517128287e-15
0.625,0.6249999999999977,0.625,-2.3314683517128287e-15
0.65625,0.6562499999999977,0.65625,-2.3314683517128287e-15
0.6875,0.6874999999999978,0.6875,-2.220446049250313e-15
0.71875,0.718749999999998,0.71875,-1.9984014443252818e-15
0.75,0.7499999999999982,0.75,-1.7763568394002505e-15
0.78125,0.7812499999999983,0.78125,-1.6653345369377348e-15
0.8125,0.8124999999999984,0.8125,-1.5543122344752192e-15
0.84375,0.8437499999999987,0.84375,-1.3322676295501878e-15
0.875,0.8749999999999988,0.875,-1.2212453270876722e-15
0.90625,0.906249999999999,0.90625,-9.992007221626409e-16
0.9375,0.9374999999999992,0.9375,-7.771561172376096e-16
0.96875,0.9687499999999996,0.96875,-4.440892098500626e-16
1.0,1.0,1.0,0.0
